record_id,customer_id,customer_archetype,customer_ltv,customer_failure_rate,customer_opted_out,subscription_id,subscription_paid_count,subscription_remaining_count,amount,failure_reason,attempt_count,hours_since_first_failure,interventions_count,is_weekend,action_taken,recovered,recovered_amount,recovery_time_hours,action_cost,friction,reward,provenance
rec_000001,9835,reliable,88687.83,0.04,False,sub_sim_9835,7,3,999.0,authentication_failed,1,0.0,0,0,PAYMENT_LINK,0,0.0,24.0,15.0,1.0,-115.0,SYNTHETIC_TRAINING_DATA
rec_000002,51026,reliable,21602.37,0.04,False,sub_sim_51026,8,6,2499.0,temporary_bank_failure,1,0.0,0,0,RETRY,0,0.0,1.0,5.0,0.2,-25.0,SYNTHETIC_TRAINING_DATA
rec_000003,67017,reliable,52461.66,0.04,False,sub_sim_67017,9,6,999.0,network_error,1,0.0,0,1,PAYMENT_LINK,1,999.0,24.0,15.0,1.0,884.0,SYNTHETIC_TRAINING_DATA
rec_000004,92527,reliable,81092.02,0.04,False,sub_sim_92527,8,7,24999.0,invalid_payment_method,1,0.0,0,0,SEND_REMINDER,0,0.0,12.0,10.0,1.2,-130.0,SYNTHETIC_TRAINING_DATA
rec_000005,50759,reliable,41805.58,0.04,False,sub_sim_50759,6,3,2499.0,temporary_bank_failure,1,0.0,0,0,RETRY,0,0.0,1.0,5.0,0.2,-25.0,SYNTHETIC_TRAINING_DATA
rec_000006,10639,occasional,28607.22,0.15,False,sub_sim_10639,1,2,999.0,temporary_bank_failure,1,0.0,0,1,RETRY,0,0.0,1.0,5.0,0.2,-25.0,SYNTHETIC_TRAINING_DATA
rec_000007,13870,reliable,61104.04,0.04,False,sub_sim_13870,7,10,999.0,network_error,1,0.0,0,0,STOP_RECOVERY,0,0.0,0.0,0.0,0.0,0.0,SYNTHETIC_TRAINING_DATA
rec_000008,5207,reliable,51356.02,0.04,False,sub_sim_5207,6,10,9999.0,temporary_bank_failure,1,0.0,0,0,RETRY,0,0.0,1.0,5.0,0.2,-25.0,SYNTHETIC_TRAINING_DATA
rec_000009,78351,occasional,31916.18,0.15,False,sub_sim_78351,9,9,2499.0,insufficient_funds,1,0.0,0,1,RETRY,0,0.0,1.0,5.0,0.2,-75.0,SYNTHETIC_TRAINING_DATA
rec_000010,39070,reliable,40392.53,0.04,False,sub_sim_39070,3,9,2499.0,temporary_bank_failure,1,0.0,0,0,RETRY,0,0.0,1.0,5.0,0.2,-25.0,SYNTHETIC_TRAINING_DATA
rec_000011,96511,reliable,61563.49,0.04,False,sub_sim_96511,1,5,24999.0,card_expired,1,0.0,0,0,PAYMENT_LINK,1,24999.0,24.0,15.0,1.0,24884.0,SYNTHETIC_TRAINING_DATA
